코드,설명
010121,말; 살아있는 순종 번식 동물
010129,말; 순종 번식 동물 이외의 살아있는 동물
010130,엉덩이; 라이브
010190,뮬과 히니; 라이브
010221,소; 살아있는 순종 사육 동물
010229,소; 순종 사육 동물 이외의 살아있는 동물
010231,버팔로; 살아있는 순종 번식 동물
010239,버팔로; 순종 번식 동물 이외의 살아있는 동물
010290,"소 동물, 소와 버팔로를 제외한 살아있는 동물"
010310,돼지; 살아있는 순종 사육 동물
010391,"돼지; 순종 번식 동물을 제외한 살아있는 동물, 체중 50kg 미만"
010392,돼지; 순종 번식 동물을 제외한 50kg 이상의 살아있는 동물
010410,양; 라이브
010420,염소; 라이브
010511,가금류; 무게가 185g 이하인 Gallus domesticus 종의 살아있는 가금류
010512,"가금류; 살아있는 칠면조, 무게 185g 이하"
010513,"가금류; 살아있는, 오리, 무게 185g 이하"
010514,"가금류; 살아있는 거위, 무게 185g 이하의 거위"
010515,"가금류; 살아있는 기니피그, 185g 이하의 무게"
010594,가금류; 무게가 185g 이상인 Gallus domesticus 종의 살아있는 가금류
010599,"가금류; 살아있는 오리, 거위, 칠면조, 기니피그, 무게 185g 이상의 가금류"
010611,"포유류, 살아있는 영장류"
010612,"포유류; 살아있는 고래, 돌고래, 돌고래목(고래목 세타시아과 포유류), 매너티와 듀공목(시레니아과 포유류), 물개, 바다사자, 바다코끼리목(피니피디아과 포유류)."
010613,포유류; 살아있는 낙타 및 기타 낙타과(낙타목)
010614,"포유류; 살아있는 토끼, 토끼 및 산토끼"
010619,"포유류; 영장류, 고래, 돌고래, 돌고래목 돌고래과 포유류, 해우, 듀공목 시레니아과 포유류, 물개, 바다사자, 해마(피니피디아과 포유류), 낙타, 기타 낙타목 낙타과, 토끼 및 토끼 이외의 살아있는 동물."
010620,"파충류, 살아있는 동물(뱀 및 거북이 포함)"
010631,"새; 살아있는, 맹금류"
010632,"새; 살아있는, 시타카목"
010633,"새; 살아있는, 타조; 에뮤(Dromaius novaehollandiae)"
010639,"조류; 맹금류, 시타카목, 타조, 에뮤(Dromaius novaehollandiae)를 제외한 살아있는 조류"
010641,"곤충; 살아있는, 꿀벌"
010649,"곤충, 벌을 제외한 살아있는 것"
010690,"동물; 포유류, 파충류, 조류 및 곤충을 제외한 01장의 살아있는 동물"
020110,"육류; 소 동물, 도체 및 반도체의 신선 또는 냉장육"
020120,"육류; 소 동물의 뼈가 있는 부위(도체 및 반도체 제외), 신선하거나 냉장된 것"
020130,"육류; 소 동물의 뼈 없는 부위, 신선하거나 냉장된 것"
020210,"육류; 소 동물, 도체 및 반도체의 냉동육"
020220,"육류; 소 동물 중 뼈가 있는 부위(도체 및 반도체 제외), 냉동 식품"
020230,"육류; 소 동물, 뼈없는 부위, 냉동"
020311,"육류; 돼지, 도체 및 반도체의 신선 또는 냉장육"
020312,"육류; 돼지, 햄, 어깨 및 그 부위, 뼈가 들어있는 신선하거나 냉장 된 것"
020319,"육류; 돼지의, n.e.c., 품목 번호. 0203.1, 신선 또는 냉장"
020321,"육류; 돼지, 도체 및 반 도체, 냉동 식품"
020322,"고기; 돼지, 햄, 어깨 및 그 부위, 뼈가 들어있는 냉동 냉동"
020329,"육류; 돼지의, 품목 번호. 0203.2, 냉동"
020410,"육류; 양, 양 사체 및 반쯤 익힌 사체, 신선하거나 냉장된 것"
020421,"육류; 양, 도체 및 반도체(양고기의 도체 및 반도체 제외), 신선 또는 냉장 제품"
020422,"육류; 양(양고기 포함), 뼈가 있는 부위(도체 및 반도체 제외), 신선하거나 냉장된 것"
020423,"육류; 양(양고기 포함), 뼈 없는 부위, 신선하거나 냉장된 것"
020430,"육류; 양, 양 시체 및 반 시체, 냉동된 것"
020441,"육류; 양, 도체 및 반도체(양고기의 도체 및 반도체 제외), 냉동 제품"
020442,"육류; 양(양고기 포함), 뼈가 있는 부위(도체 및 반도체 제외), 냉동 식품"
020443,"육류; 양(양고기 포함), 뼈 없는 부위, 냉동 식품"
020450,"육류; 염소, 신선, 냉장 또는 냉동 제품"
020500,"육류; 말, 나귀, 노새 또는 히니의 신선, 냉장 또는 냉동 제품"
020610,"내장, 식용; 소 동물의 신선 또는 냉장 보관된 것"
020621,"내장, 식용; 소 동물, 혀, 냉동"
020622,"내장, 식용; 소 동물, 간, 냉동"
020629,"내장, 식용; 소 동물의 (혀와 간을 제외한) 냉동 제품"
020630,"내장, 식용; 돼지, 신선하거나 냉장된 것"
020641,"내장, 식용; 돼지, 간, 냉동"
