HSCode,Description
101211000,Horses; live purebred breeding animals; for homestead breeding
101219000,Horses; live purebred breeding animals; other
101291000,Horse; a living animal other than a purebred breeding animal; racehorse
101299000,Horses; live animals other than purebred breeding animals; other
101300000,Ass; live; donkey
101900000,Mule and Heeney; Live; Other
102211000,cow; live purebred breeding animal; dairy cow
102212000,"Cattle; live, purebred domesticated animals; beef cattle"
102219000,Cattle; live purebred farmed animals; other
102291000,cattle; live animals other than purebred breeding animals; dairy cows
102292000,Cattle; live animals other than purebred domesticated animals; beef cattle
102299000,Cattle; live animals other than purebred breeding animals; other
102310000,buffalo; live purebred breeding animals; for breeding
102391000,buffalo; live animals other than purebred breeding animals; dairy cows
102392000,buffalo; live animal other than a purebred breeding animal; beef cattle
102399000,Buffalo; live animals other than purebred breeding animals; misc.
102901000,"Bovine animals, live animals except cattle and buffaloes; for breeding"
102909010,"Bovine animals, live, except cattle and buffaloes; other; dairy cows"
102909020,"Bovine animals, live, except cattle and buffaloes; other; beef cattle"
102909090,"Bovine animals, live animals except cattle and buffaloes; other; other"
103100000,Pigs; live purebred breeding animals; for breeding
103910000,"Swine; live animals, except purebred breeding animals, weighing less than 50 kilograms; weighing less than 50 kilograms"
103920000,"Swine; live animals weighing more than 50 kilograms, except purebred breeding animals; anything weighing more than 50 kilograms"
104101000,Sheep; live; for breeding
104109000,Amount; Live; Other
104201000,Goat; live; dairy goat
104209000,Chlorine; Live; Other
105111000,Poultry; live poultry of the species Gallus domesticus weighing 185 g or less; for breeding
105119000,Poultry; live poultry of the species Gallus domesticus weighing 185 grams or less; other
105120000,"Poultry; live turkeys, weighing 185 grams or less; turkeys"
105131000,"Poultry; live, ducks, weighing 185 grams or less; breeding stock"
105139000,"Poultry; live, duck, weighing 185 g or less; other"
105140000,"Poultry; live geese, weighing 185 grams or less; geese"
105150000,"Poultry; live guinea fowl, weighing 185 grams or less; guinea fowl"
105941000,Poultry; live poultry of the species Gallus domesticus weighing more than 185 g; for breeding
105949000,Poultry; live poultry of the species Gallus domesticus weighing 185 grams or more; other
