코드,설명
101211000,말; 살아있는 순종 번식 동물; 농가 사육용
101219000,말; 살아있는 순종 번식 동물; 기타
101291000,말; 순종 번식 동물 이외의 살아있는 동물; 경주말
101299000,말; 순종 번식 동물 이외의 살아있는 동물; 기타
101300000,엉덩이; 라이브; 당나귀
101900000,뮬과 히니; 라이브; 기타
102211000,소; 살아있는 순종 사육 동물; 젖소
102212000,소; 살아있는 순종 사육 동물; 육우(肉牛)
102219000,소; 살아있는 순종 사육 동물; 기타
102291000,소; 순종 사육 동물 이외의 살아있는 동물; 젖소
102292000,소; 순종 사육 동물 이외의 살아있는 동물; 육우(肉牛)
102299000,소; 순종 사육 동물 이외의 살아있는 동물; 기타
102310000,버팔로; 살아있는 순종 번식 동물; 번식용
102391000,버팔로; 순종 번식 동물 이외의 살아있는 동물; 젖소
102392000,버팔로; 순종 번식 동물 이외의 살아있는 동물; 육우(肉牛)
102399000,버팔로; 순종 번식 동물 이외의 살아있는 동물; 기타
102901000,"소 동물, 소와 버팔로를 제외한 살아있는 동물; 번식용"
102909010,"소 동물, 소와 버팔로를 제외한 살아있는 동물; 기타; 젖소"
102909020,"소 동물, 소와 버팔로를 제외한 살아있는 동물; 기타; 육우(肉牛)"
102909090,"소 동물, 소와 버팔로를 제외한 살아있는 동물; 기타; 기타"
103100000,돼지; 살아있는 순종 사육 동물; 번식용
103910000,"돼지; 순종 번식 동물을 제외한 살아있는 동물, 체중 50kg 미만; 중량이 50킬로그램 미만인 것"
103920000,돼지; 순종 번식 동물을 제외한 50kg 이상의 살아있는 동물; 중량이 50킬로그램 이상인 것
104101000,양; 라이브; 번식용
104109000,양; 라이브; 기타
104201000,염소; 라이브; 젖염소
104209000,염소; 라이브; 기타
105111000,가금류; 무게가 185g 이하인 Gallus domesticus 종의 살아있는 가금류; 번식용
105119000,가금류; 무게가 185g 이하인 Gallus domesticus 종의 살아있는 가금류; 기타
105120000,"가금류; 살아있는 칠면조, 무게 185g 이하; 칠면조"
105131000,"가금류; 살아있는, 오리, 무게 185g 이하; 번식용"
105139000,"가금류; 살아있는, 오리, 무게 185g 이하; 기타"
105140000,"가금류; 살아있는 거위, 무게 185g 이하의 거위; 거위"
105150000,"가금류; 살아있는 기니피그, 185g 이하의 무게; 기니아새"
105941000,가금류; 무게가 185g 이상인 Gallus domesticus 종의 살아있는 가금류; 번식용
105949000,가금류; 무게가 185g 이상인 Gallus domesticus 종의 살아있는 가금류; 기타
105991010,"가금류; 살아있는 오리, 거위, 칠면조, 기니피그, 무게 185g 이상의 가금류; 오리; 번식용"
105991090,"가금류; 살아있는 오리, 거위, 칠면조, 기니피그, 무게 185g 이상의 가금류; 오리; 기타"
105992000,"가금류; 살아있는 오리, 거위, 칠면조, 기니피그, 무게 185g 이상의 가금류; 칠면조"
105999000,"가금류; 살아있는 오리, 거위, 칠면조, 기니피그, 무게 185g 이상의 가금류; 기타"
106110000,"포유류, 살아있는 영장류; 영장류"
106121000,"포유류; 살아있는 고래, 돌고래, 돌고래목(고래목 세타시아과 포유류), 매너티와 듀공목(시레니아과 포유류), 물개, 바다사자, 바다코끼리목(피니피디아과 포유류).; 고래ㆍ돌고래ㆍ쇠돌고래(고래목의 포유동물), 매너티ㆍ듀공(바다소목의 포유동물)"
106122000,"포유류; 살아있는 고래, 돌고래, 돌고래목(고래목 세타시아과 포유류), 매너티와 듀공목(시레니아과 포유류), 물개, 바다사자, 바다코끼리목(피니피디아과 포유류).; 물개, 바다사자와 바다코끼리(기각아목의 포유동물)"
106130000,포유류; 살아있는 낙타 및 기타 낙타과(낙타목); 낙타와 그 밖의 낙타과의 동물[카멜리대(Camelidae)과]
106141000,"포유류; 살아있는 토끼, 토끼 및 산토끼; 번식용"
106149000,"포유류; 살아있는 토끼, 토끼 및 산토끼; 기타"
106191000,"포유류; 영장류, 고래, 돌고래, 돌고래목 돌고래과 포유류, 해우, 듀공목 시레니아과 포유류, 물개, 바다사자, 해마(피니피디아과 포유류), 낙타, 기타 낙타목 낙타과, 토끼 및 토끼 이외의 살아있는 동물.; 개"
