코드,설명
010121,"말; 살아있는 순종 번식 동물; 농가 사육용, 기타"
010129,"말; 순종 번식 동물 이외의 살아있는 동물; 경주말, 기타"
010130,엉덩이; 라이브; 당나귀
010190,뮬과 히니; 라이브; 기타
010221,"소; 살아있는 순종 사육 동물; 젖소, 육우(肉牛), 기타"
010229,"소; 순종 사육 동물 이외의 살아있는 동물; 젖소, 육우(肉牛), 기타"
010231,버팔로; 살아있는 순종 번식 동물; 번식용
010239,"버팔로; 순종 번식 동물 이외의 살아있는 동물; 젖소, 육우(肉牛), 기타"
010290,"소 동물, 소와 버팔로를 제외한 살아있는 동물; 번식용, 기타;젖소, 육우(肉牛), 기타"
010310,돼지; 살아있는 순종 사육 동물; 번식용
010391,"돼지; 순종 번식 동물을 제외한 살아있는 동물, 체중 50kg 미만; 중량이 50킬로그램 미만인 것"
010392,돼지; 순종 번식 동물을 제외한 50kg 이상의 살아있는 동물; 중량이 50킬로그램 이상인 것
010410,"양; 라이브; 번식용, 기타"
010420,"염소; 라이브; 젖염소, 기타"
010511,"가금류; 무게가 185g 이하인 Gallus domesticus 종의 살아있는 가금류; 번식용, 기타"
010512,"가금류; 살아있는 칠면조, 무게 185g 이하; 칠면조"
010513,"가금류; 살아있는, 오리, 무게 185g 이하; 번식용, 기타"
010514,"가금류; 살아있는 거위, 무게 185g 이하의 거위; 거위"
010515,"가금류; 살아있는 기니피그, 185g 이하의 무게; 기니아새"
010594,"가금류; 무게가 185g 이상인 Gallus domesticus 종의 살아있는 가금류; 번식용, 기타"
010599,"가금류; 살아있는 오리, 거위, 칠면조, 기니피그, 무게 185g 이상의 가금류; 오리;번식용, 기타, 칠면조, 기타"
010611,"포유류, 살아있는 영장류; 영장류"
010612,"포유류; 살아있는 고래, 돌고래, 돌고래목(고래목 세타시아과 포유류), 매너티와 듀공목(시레니아과 포유류), 물개, 바다사자, 바다코끼리목(피니피디아과 포유류).; 고래ㆍ돌고래ㆍ쇠돌고래(고래목의 포유동물), 매너티ㆍ듀공(바다소목의 포유동물), 물개, 바다사자와 바다코끼리(기각아목의 포유동물)"
010613,포유류; 살아있는 낙타 및 기타 낙타과(낙타목); 낙타와 그 밖의 낙타과의 동물[카멜리대(Camelidae)과]
010614,"포유류; 살아있는 토끼, 토끼 및 산토끼; 번식용, 기타"
010619,"포유류; 영장류, 고래, 돌고래, 돌고래목 돌고래과 포유류, 해우, 듀공목 시레니아과 포유류, 물개, 바다사자, 해마(피니피디아과 포유류), 낙타, 기타 낙타목 낙타과, 토끼 및 토끼 이외의 살아있는 동물.; 개, 사슴, 곰, 여우;번식용, 기타, 밍크;번식용, 기타, 기타"
