ProductName,Result,가장_적합한_HS_코드,Match_2,Match_4,Match_6
"품목명: 오뚜기 흰밥, 210g, 24개",100640,190410,False,False,False
"품목명: 신라면 120g, 30개",190230,190230,True,True,True
"품목명: 스팸 25% 라이트, 9개",150420,160241,False,False,False
"품목명: 동원 라이트 스탠다드 참치, 85g, 8개",160419,160414,True,True,False
"품목명: 동원 고추 참치, 85g, 8개",160419,160414,True,True,False
"품목명: 펩시 콜라 제로슈거 라임향, 210ml, 30개",220210,220210,True,True,True
"품목명: 탐사수 무라벨, 2L, 24개",220110,220190,True,True,False
"품목명: 오뚜기 진라면 컵 매운맛 65g, 30개",190230,210410,False,False,False
"품목명: 곰곰 더 진한 갈비탕 (냉동), 600g, 5개",020220,160210,False,False,False
"품목명: 블루다이아몬드 아몬드 브리즈 오리지널, 190ml, 24개",080212,22029990,False,False,False
"품목명: 비비고 왕교자 (냉동), 1.05kg, 2개",160552,190230,False,False,False
"품목명: 귤탐 당도선별 11brix 감귤, 2kg(로열과), 1개",200899,080550,False,False,False
"품목명: 양반 현미밥, 130g, 24개",100620,190410,False,False,False
"품목명: 담터 호두 아몬드 율무차, 18g, 50개입, 1개",210120,210120,True,True,True
"품목명: 농심 육개장 사발면 86g, 30개",210390,1902301000,False,False,False
"품목명: 종근당 칼슘 앤 마그네슘 비타민D 아연, 180정, 2개",300450,210690,False,False,False
"품목명: 햇반 즉석 백미밥, 210g, 36개",110630,190410,False,False,False
"품목명: 삼립 호빵 발효미종 단팥 7입 + 야채 7입, 1세트",190120,190590,True,False,False
"품목명: 해표 콩기름 식용유, 1.8L, 3개",151620,001508,False,False,False
"품목명: 오뚜기 맛있는 오뚜기밥, 210g, 36개",160540,190590,False,False,False
"품목명: 펩시 제로슈거 라임향 무라벨, 300ml, 20개",220299,220210,True,True,False
"품목명: 이롬 황성주 검은콩 고칼슘 두유, 190ml, 24개",190110,220210,False,False,False
"품목명: 곰곰 무항생제 신선한 대란, 60구, 1개",040899,040721,True,False,False
"품목명: 농심 웰치스 포도맛, 355ml, 24개",220299,220210,True,True,False
"품목명: 맥심 화이트 골드 커피믹스, 11.7g, 160개입, 1개",090111,210111,False,False,False
품목명: 오뚜기 3분카레 약간 매운맛 200g 6개,210390,210390,True,True,True
"품목명: 아카페라 심플리 디카페인 아메리카노 무라벨, 400ml, 20개",090190,210120,False,False,False
"품목명: 더단백 드링크 초코, 250ml, 18개",180632,220290,False,False,False
"품목명: 티젠 콤부차 레몬, 5g, 50개입, 1개",210690,220290,False,False,False
"품목명: 안성탕면 125g, 40개",190230,190230,True,True,True
"품목명: 농심 신라면120g(5입)X3개/무료배송, 15개",190230,190230,True,True,True
"품목명: 오뚜기 열라면 120g, 40개",190230,19023000,True,True,False
"품목명: 오리온 와우스낵 과자 선물세트, 포카칩4p + 꼬북칩4p + 오감자4p + 돌아온 썬칩4p, 1세트",190590,190590,True,True,True
"품목명: 곰곰 달달 꿀호떡, 700g, 1개",190540,190590,True,True,False
"품목명: 삼립 리얼 후레쉬 치즈케익 10개입, 700g, 1개",040610,190120,False,False,False
"품목명: 아몰리바 포마스 올리브오일, 1L, 1개",150920,001509,False,False,False
"품목명: 제주삼다수, 500ml, 40개",220190,2201101000,True,True,False
"품목명: CJ제일제당 유기농 맛밤 42g 맛밤, 10개",200899,200899,True,True,True
"품목명: 하림 닭볶음탕용 닭고기 (냉장) 2개입, 1000g, 2개",020712,020712,True,True,True
"품목명: 햇반 흑미밥, 210g, 24개",100640,190490,False,False,False
"품목명: 투데이넛 너트한줌 프리미엄 믹스넛, 20g, 50개",110630,200819,False,False,False
