품목명
"백제 우리 햅쌀 즉석 떡국, 163g, 6개"
"복음자리 무농약무화과잼350g, 350g, 1개"
"안단잼 딸기 80% 신선 과일잼, 460g, 1개"
"쿡시 멸치맛 쌀국수, 92g, 30개"
"불닭볶음면 140g, 10개"
"목우촌 다리두배 닭볶음탕 (냉장), 1.2kg, 1개"
"에스앤비 골든카레 매운맛, 220g, 3개"
"곰곰 썰은 배추김치, 10kg, 1개"
비비고 단호박죽 420g 4개
"왕뚜껑 짬뽕 110g, 18개"
"오뚜기 참깨라면 115g, 12개"
"리틀캘리 디카페인선셋 티백형 커피, 2개, 6개입, 13g"
"햇반 흑미누룽지죽, 205g, 6개"
"시에라 데 유티엘 엑스트라버진 올리브 오일, 1L, 1개"
"주문진어시장건어물 백진미 오징어채 (냉동), 1개, 400g"
"동원 살코기참치85g 6입+고추참치85g 6입, 85g, 12개"
"백설 밥이랑야채 유부초밥 주먹밥 맛있는김 간단아침메뉴 소풍도시락 밥에뿌려먹는 27g, 2개"
"하림 텐더스틱 (냉동), 1.2kg, 1개"
"동원 리챔 오리지널, 120g, 10개"
"원하프순후추50g/오뚜기총알배송, 50g, 1개"
