ProductName,CleanDescription,Best3,Answer
"품목명: 오뚜기 흰밥, 210g, 24개","오뚜기 흰밥은 210g의 용량으로 포장된 흰 쌀밥이며, 한 박스에 24개가 들어 있습니다.","코드: 100640
설명: 곡물; 쌀, 깨진; 쇄미(broken rice)
코드: 110630
설명: 밀가루, 식사 및 분말; 8장의 제품 중; 제8류 물품의 것
코드: 110610
설명: 밀가루, 식사 및 분말; 제목의 말린 콩과 식물성 채소 중 번호. 0713; 건조한 채두류(菜豆類)의 것(제0713호의 것으로 한정한다)","```json
{
  ""가장_적합한_HS_코드"": ""100640"",
  ""가장_적합한_HS_항목명"": ""곡물; 쌀, 깨진; 쇄미(broken rice)"",
  ""판단_근거"": ""오뚜기 흰밥은 쌀로 만든 제품으로, HS 코드 100640이 쌀과 관련된 항목으로 가장 적합합니다. 다른 두 코드(110630 및 110610)는 밀가루 및 분말과 관련된 제품으로, 흰밥과는 관련이 없습니다.""
}
```"
"품목명: 신라면 120g, 30개","신라면은 120g의 용량으로 포장된 인스턴트 면 제품으로, 30개가 들어 있는 묶음입니다.","코드: 190230
설명: 음식 준비물; 파스타(박제 제외), 조리 또는 기타 조리된 음식; 인스탄트 면류;라면, 기타, 기타
코드: 110630
설명: 밀가루, 식사 및 분말; 8장의 제품 중; 제8류 물품의 것
코드: 210390
설명: 소스 및 이를 위한 준비물; 혼합 조미료 및 혼합 조미료; 장류;된장, 춘장, 고추장, 기타, 기타;마요네스, 인스턴트 카레, 혼합조미료, 메주, 기타","```json
{
  ""가장_적합한_HS_코드"": ""190230"",
  ""가장_적합한_HS_항목명"": ""음식 준비물; 파스타(박제 제외), 조리 또는 기타 조리된 음식; 인스탄트 면류;라면, 기타, 기타"",
  ""판단_근거"": ""신라면은 인스턴트 면 제품으로, HS 코드 190230은 인스턴트 면류를 포함하고 있어 가장 적합합니다. 다른 두 코드는 밀가루 및 조미료에 해당하며, 신라면의 주된 성격을 반영하지 않습니다.""
}
```"
"품목명: 스팸 25% 라이트, 9개","스팸 25% 라이트, 9개는 25%의 지방 함량이 낮춘 스팸 제품으로, 9개의 개별 포장이 포함된 식료품입니다.","코드: 150420
설명: 지방 및 유지류 및 그 분획물, 생선(간유 제외); 어류의 지방과 기름 및 그 분획물[간유(肝油)는 제외한다]
코드: 110630
설명: 밀가루, 식사 및 분말; 8장의 제품 중; 제8류 물품의 것
코드: 150430
설명: 지방과 기름 및 그 분획물; 해양 포유류의 경우; 고래기름과 그 분획물, 기타","```json
{
  ""가장_적합한_HS_코드"": ""150420"",
  ""가장_적합한_HS_항목명"": ""지방 및 유지류 및 그 분획물, 생선(간유 제외); 어류의 지방과 기름 및 그 분획물[간유(肝油)는 제외한다]"",
  ""판단_근거"": ""스팸 제품은 주로 돼지고기와 지방으로 구성되어 있으며, HS 코드 150420은 지방 및 유지류와 관련이 있습니다. 이 코드가 스팸 제품의 지방 함량과 제조 과정에 적합하므로 가장 적합한 선택입니다.""
}
```"
"품목명: 동원 라이트 스탠다드 참치, 85g, 8개",동원 라이트 스탠다드 참치는 85g 용량의 참치가 8개 들어 있는 제품입니다.,"코드: 030349
설명: 생선; 냉동, 참치, 품목 번호. 0303.4, 필레, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어 내장을 제외한 것; 기타
코드: 030389
설명: 생선; 냉동, 세번 0303호의 필레, 0304호의 어육 및 세번 0303.91 내지 0303.99호의 식용 어 내장 제외; 은대구, 갈치, 돔;옥돔[브랜치오스테거스 자포니커스(Branchiostegus Japonicus)], 옥두어[브랜치오스테거스 알부스(Branchiostegus albus)], 기타, 붕장어, 조기;참조기[라리미크티스 폴리악티스(Larimichthys polyactis)], 부세[라리미크티스 크로세아(Larimichthys crocea)], 기타, 학꽁치(Hyporhampus sajori), 복어, 기타; 보리멸, 홍살치, 달고기, 임연수어, 볼낙(적어를 포함한다), 아귀, 먹장어(대서양 또는 태평양), 밀크피쉬, 기타 ;  기타 ;  민어,  기타 ;  까나리,  기타 ;  이빨고기[디소스티쿠스(Dissostichus)속은 제외한다],  기타 ;기타;보리멸, 홍살치, 달고기, 임연수어, 볼낙(적어를 포함한다), 아귀, 먹장어(대서양 또는 태평양), 밀크피쉬, 기타 ; 기타 ; 민어,  기타 ; 까나리,  기타 ; 이빨고기[디소스티쿠스(Dissostichus)속은 제외한다],  기타 ; 기타
코드: 030489
설명: 생선 필레; 냉동, 기타의 생선 세번 0304.8에 해당하는 것; 붕장어의 것, 이빨고기[디소스티쿠스(Dissostichus)속은 제외한다]의 것, 틸라피아[오레오크로미스(Oreochromis)속은 제외한다]의 것, 쥐치의 것, 고등어의 것, 기타","```json
{
  ""가장_적합한_HS_코드"": ""030349"",
  ""가장_적합한_HS_항목명"": ""생선; 냉동, 참치, 품목 번호. 0303.4, 필레, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어 내장을 제외한 것; 기타"",
  ""판단_근거"": ""동원 라이트 스탠다드 참치는 참치 제품으로, HS 코드 030349는 냉동 참치를 포함하고 있으며, 참치의 필레와 관련된 품목입니다. 다른 코드들은 일반적인 생선 또는 특정 생선 품종에 대한 것으로, 참치와 직접적으로 관련이 없는 항목이므로 030349가 가장 적합합니다.""
}
```"
"품목명: 동원 고추 참치, 85g, 8개",동원 고추 참치는 85g의 용량으로 포장된 8개의 캔으로 구성된 참치 제품입니다. 이 제품은 고추와 함께 조리된 참치가 들어 있습니다.,"코드: 160419
설명: 생선 준비물; 생선 준비 또는 보존, 통째로 또는 조각으로 (다진 것은 아님), 세번 번호의 기타. 1604; 밀폐용기에 넣은 것;꽁치, 전갱이, 기타, 기타;쥐치포, 기타
코드: 160415
설명: 생선 준비물; 고등어, 준비 또는 보존, 통째 또는 조각(다진 것은 아님); 밀폐용기에 넣은 것, 기타
코드: 030349
설명: 생선; 냉동, 참치, 품목 번호. 0303.4, 필레, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어 내장을 제외한 것; 기타","```json
{
  ""가장_적합한_HS_코드"": ""160419"",
  ""가장_적합한_HS_항목명"": ""생선 준비물; 생선 준비 또는 보존, 통째로 또는 조각으로 (다진 것은 아님), 세번 번호의 기타. 1604; 밀폐용기에 넣은 것;꽁치, 전갱이, 기타, 기타;쥐치포, 기타"",
  ""판단_근거"": ""동원 고추 참치는 조리된 참치 제품으로, 고추와 함께 보존된 상태로 밀폐용기에 포장되어 있습니다. HS 코드 160419는 생선 준비물로서 통째 또는 조각으로 보존된 생선 제품을 포함하며, 이는 해당 제품의 특성과 일치합니다. 다른 코드들은 특정 생선 종류에 국한되거나 냉동 상태의 생선을 다루고 있어 이 제품의 특성과 맞지 않습니다.""
}
```"
"품목명: 펩시 콜라 제로슈거 라임향, 210ml, 30개","펩시 콜라 제로슈거 라임향은 라임 맛이 나는 탄산 음료로, 용량은 210ml이며, 30개가 들어있는 패키지입니다.","코드: 210690
설명: 식품 준비물; 항목 번호 2106.10의 n.e.c.; 알코올을 함유하지 않은 음료의 베이스;콜라 베이스, 과일향의 음료베이스, 기타, 당시럽[향미제(香味劑)나 착색제를 첨가한 것으로 한정한다], 인삼제품류;    백삼제품류;  인삼제품류;   백삼제품류;   인삼차, 인삼제품류;   백삼제품류; 인삼제품류;   백삼제품류; 인삼제품류;  백삼제품류;  인삼차, 인삼제품류;  백삼제품류;  기타, 인삼제품류;   홍삼제품류; 인삼제품류;  홍삼제품류;  홍삼차, 인삼제품류;  홍삼제품류;인삼제품류;   백삼제품류; 인삼제품류;  백삼제품류;  인삼차, 인삼제품류;  백삼제품류;인삼제품류;  백삼제품류;인삼제품류; 백삼제품류; 인삼차, 인삼제품류; 백삼제품류; 기타, 인삼제품류;  홍삼제품류;인삼제품류; 홍삼제품류; 홍삼차, 인삼제품류; 홍삼제품류; 기타, 기타; 커피크리머, 버터를 기본 재료로 한 조제품;  버터를 기본 재료로 한 조제품;  버터 함량이 전 중량의 100분의 30 이하인 것,  버터를 기본 재료로 한 조제품;  버터 함량이 전 중량의 100분의 30 초과 100분의 70 이하인 것,  버터를 기본 재료로 한 조제품;기타;커피크리머, 버터를 기본 재료로 한 조제품; 버터를 기본 재료로 한 조제품; 버터 함량이 전 중량의 100분의 30 이하인 것,  버터를 기본 재료로 한 조제품; 버터 함량이 전 중량의 100분의 30 초과 100분의 70 이하인 것,  버터를 기본 재료로 한 조제품; 버터 함량이 전 중량의 100분의 70을 초과하는 것, 아이스크림 제조용 조제품, 자기소화효모(autolyzed yeast)와 그 밖의 효모 추출물(extract), 향미(香味)용 조제품, 도토리 가루, 알로에를 기본 재료로 한 조제품, 음료 제조용 조제품[방향성(芳香性) 물질을 기본 재료로 한 것은 제외하며, 알코올 용량이 전 용량의 100분의 0.5를 초과하는 것으로 한정한다], 로열젤리, 벌꿀조제품의 것,   기타
코드: 220890
설명: 증류주, 리큐어 및 기타 증류성 음료; n.e.c. (세번. 2208; 브랜디류(소호 제2208.20호의 것은 제외한다), 소주, 고량주, 데낄라, 기타
코드: 220210
설명: 미네랄 및 탄산수, 설탕 또는 기타 감미료 또는 향료가 첨가된 물 포함; 색깔을 입힌 것, 기타","```json
{
  ""가장_적합한_HS_코드"": ""220210"",
  ""가장_적합한_HS_항목명"": ""미네랄 및 탄산수, 설탕 또는 기타 감미료 또는 향료가 첨가된 물 포함; 색깔을 입힌 것, 기타"",
  ""판단_근거"": ""펩시 콜라 제로슈거 라임향은 탄산 음료로, 설탕 대신 감미료가 첨가된 음료입니다. HS 코드 220210은 설탕이나 향료가 첨가된 탄산수 및 음료를 포함하며, 다른 두 코드(210690 및 220890)는 주로 식품 준비물이나 증류주에 해당하므로 적합하지 않습니다.""
}
```"
"품목명: 탐사수 무라벨, 2L, 24개","탐사수 무라벨은 2리터 용량의 물이 담긴 제품으로, 총 24개가 들어 있는 포장입니다.","코드: 285390
설명: 인화물, 화학적으로 정의되었든 아니든, 페로인산이 아닌 인화물; 기타 무기 화합물(증류수, 전도도수 및 이와 유사한 순도의 물 포함); 액체 공기, 희귀 가스 제거 여부; 압축 공기; 귀금속 아말감이 아닌 아말감; 증류수, 전도도수와 이와 유사한 순도의 물, 인화물(燐化物)(화학적으로 단일한 것인지에 상관없으며 인철은 제외한다), 기타
코드: 690912
설명: 세라믹 제품; 실험실, 화학 또는 기타 기술적 용도의 경우, 모스 척도에서 9 이상의 경도를 갖는 물품; 모스 경도가 9 이상인 물품
코드: 392330
설명: 플라스틱, 카보이, 병, 플라스크 및 이와 유사한 물품, 물품 운반 또는 포장용 물품; 카보이(carboy)ㆍ병ㆍ플라스크(flask)와 이와 유사한 물품","```json
{
  ""가장_적합한_HS_코드"": ""285390"",
  ""가장_적합한_HS_항목명"": ""인화물, 화학적으로 정의되었든 아니든, 페로인산이 아닌 인화물; 기타 무기 화합물(증류수, 전도도수 및 이와 유사한 순도의 물 포함); 액체 공기, 희귀 가스 제거 여부; 압축 공기; 귀금속 아말감이 아닌 아말감; 증류수, 전도도수와 이와 유사한 순도의 물, 인화물(燐化物)(화학적으로 단일한 것인지에 상관없으며 인철은 제외한다), 기타"",
  ""판단_근거"": ""탐사수는 물이 담긴 제품으로, HS 코드 285390은 물을 포함한 무기 화합물에 해당하며, 특히 증류수와 유사한 순도의 물을 포함합니다. 다른 HS 코드들은 세라믹 제품이나 플라스틱 포장과 관련이 있어 해당 물품과의 연관성이 낮습니다.""
}
```"
"품목명: 오뚜기 진라면 컵 매운맛 65g, 30개","오뚜기 진라면 컵 매운맛은 65g의 용량을 가진 컵라면으로, 한 박스에 30개가 들어 있습니다.","코드: 110630
설명: 밀가루, 식사 및 분말; 8장의 제품 중; 제8류 물품의 것
코드: 160559
설명: 연체동물 제제; 항목 번호. 1605.5, 페이스트, 소시지, 준비된 식사 등과 같은 제제; 골뱅이;밀폐용기에 넣은 것, 기타, 소라;밀폐용기에 넣은 것, 기타, 기타;밀폐용기에 넣은 것, 기타
코드: 110610
설명: 밀가루, 식사 및 분말; 제목의 말린 콩과 식물성 채소 중 번호. 0713; 건조한 채두류(菜豆類)의 것(제0713호의 것으로 한정한다)","```json
{
  ""가장_적합한_HS_코드"": ""160559"",
  ""가장_적합한_HS_항목명"": ""연체동물 제제; 항목 번호. 1605.5, 페이스트, 소시지, 준비된 식사 등과 같은 제제; 골뱅이;밀폐용기에 넣은 것, 기타, 소라;밀폐용기에 넣은 것, 기타, 기타;밀폐용기에 넣은 것, 기타"",
  ""판단_근거"": ""오뚜기 진라면 컵 매운맛은 즉석식품으로, 주로 가공된 재료로 만들어진 면과 수프가 포함되어 있습니다. HS 코드 160559는 가공식품과 관련되어 있으며, 특히 즉석식사 및 준비된 식사를 포함하고 있어 본 제품의 특성에 가장 적합합니다. 다른 두 코드(110630 및 110610)는 주로 원재료인 밀가루와 관련된 항목으로, 최종 소비재인 컵라면과는 맞지 않습니다.""
}
```"
"품목명: 곰곰 더 진한 갈비탕 (냉동), 600g, 5개","곰곰 더 진한 갈비탕은 냉동 형태로 제공되는 갈비탕으로, 총 중량이 600g이며 5개가 포함되어 있습니다.","코드: 020220
설명: 육류; 소 동물 중 뼈가 있는 부위(도체 및 반도체 제외), 냉동 식품; 갈비, 기타
코드: 020649
설명: 내장, 식용, 돼지 (간 제외), 냉동; 족, 기타
코드: 020120
설명: 육류; 소 동물의 뼈가 있는 부위(도체 및 반도체 제외), 신선하거나 냉장된 것; 갈비, 기타","```json
{
  ""가장_적합한_HS_코드"": ""020220"",
  ""가장_적합한_HS_항목명"": ""육류; 소 동물 중 뼈가 있는 부위(도체 및 반도체 제외), 냉동 식품; 갈비, 기타"",
  ""판단_근거"": ""곰곰 더 진한 갈비탕은 냉동 형태로 제공되며, 주재료가 소의 갈비로 이루어져 있습니다. HS 코드 020220은 냉동된 소 동물의 갈비를 포함하고 있어 해당 식품의 특성과 가장 잘 일치합니다. 다른 옵션인 020120은 신선하거나 냉장된 제품에 해당하며, 020649는 돼지 내장과 관련된 코드로 곰곰 더 진한 갈비탕의 내용물과 맞지 않습니다.""
}
```"
"품목명: 블루다이아몬드 아몬드 브리즈 오리지널, 190ml, 24개","블루다이아몬드 아몬드 브리즈 오리지널은 190ml 용량의 아몬드 음료로, 24개의 개별 포장이 포함된 제품입니다.","코드: 080212
설명: 견과류, 식용; 아몬드, 신선 또는 건조, 껍질 벗긴 것; 껍데기를 벗긴 것
코드: 210690
설명: 식품 준비물; 항목 번호 2106.10의 n.e.c.; 알코올을 함유하지 않은 음료의 베이스;콜라 베이스, 과일향의 음료베이스, 기타, 당시럽[향미제(香味劑)나 착색제를 첨가한 것으로 한정한다], 인삼제품류;    백삼제품류;  인삼제품류;   백삼제품류;   인삼차, 인삼제품류;   백삼제품류; 인삼제품류;   백삼제품류; 인삼제품류;  백삼제품류;  인삼차, 인삼제품류;  백삼제품류;  기타, 인삼제품류;   홍삼제품류; 인삼제품류;  홍삼제품류;  홍삼차, 인삼제품류;  홍삼제품류;인삼제품류;   백삼제품류; 인삼제품류;  백삼제품류;  인삼차, 인삼제품류;  백삼제품류;인삼제품류;  백삼제품류;인삼제품류; 백삼제품류; 인삼차, 인삼제품류; 백삼제품류; 기타, 인삼제품류;  홍삼제품류;인삼제품류; 홍삼제품류; 홍삼차, 인삼제품류; 홍삼제품류; 기타, 기타; 커피크리머, 버터를 기본 재료로 한 조제품;  버터를 기본 재료로 한 조제품;  버터 함량이 전 중량의 100분의 30 이하인 것,  버터를 기본 재료로 한 조제품;  버터 함량이 전 중량의 100분의 30 초과 100분의 70 이하인 것,  버터를 기본 재료로 한 조제품;기타;커피크리머, 버터를 기본 재료로 한 조제품; 버터를 기본 재료로 한 조제품; 버터 함량이 전 중량의 100분의 30 이하인 것,  버터를 기본 재료로 한 조제품; 버터 함량이 전 중량의 100분의 30 초과 100분의 70 이하인 것,  버터를 기본 재료로 한 조제품; 버터 함량이 전 중량의 100분의 70을 초과하는 것, 아이스크림 제조용 조제품, 자기소화효모(autolyzed yeast)와 그 밖의 효모 추출물(extract), 향미(香味)용 조제품, 도토리 가루, 알로에를 기본 재료로 한 조제품, 음료 제조용 조제품[방향성(芳香性) 물질을 기본 재료로 한 것은 제외하며, 알코올 용량이 전 용량의 100분의 0.5를 초과하는 것으로 한정한다], 로열젤리, 벌꿀조제품의 것,   기타
코드: 080211
설명: 견과류, 식용; 아몬드, 신선하거나 말린 껍질째, 껍질째; 껍데기를 벗기지 않은 것","```json
{
  ""가장_적합한_HS_코드"": ""210690"",
  ""가장_적합한_HS_항목명"": ""식품 준비물; 항목 번호 2106.10의 n.e.c.; 알코올을 함유하지 않은 음료의 베이스;콜라 베이스, 과일향의 음료베이스, 기타"",
  ""판단_근거"": ""블루다이아몬드 아몬드 브리즈 오리지널은 아몬드 음료로, 주로 음료로서 소비되는 제품입니다. 따라서 HS 코드 210690이 가장 적합합니다. 이는 알코올을 포함하지 않는 음료의 베이스에 해당하며, 아몬드 음료와 관련된 제조 및 재료 단계의 환경적 영향을 평가하는 데 적절한 분류입니다.""
}
```"
