ProductName,CleanDescription,Best3,Answer
"품목명: 오뚜기 흰밥, 210g, 24개","이 품목은 즉석으로 조리된 흰 쌀밥으로, 210g의 포장이 24개 포함되어 있습니다.","코드: 100640
설명: 곡물; 쌀, 깨진; 쇄미(broken rice)
코드: 110630
설명: 밀가루, 식사 및 분말; 8장의 제품 중; 제8류 물품의 것
코드: 100610
설명: 곡물; 껍질째 먹는 쌀(벼 또는 거친 쌀); 벼","```json
{
  ""가장_적합한_HS_코드"": ""100640"",
  ""가장_적합한_HS_항목명"": ""곡물; 쌀, 깨진; 쇄미(broken rice)"",
  ""판단_근거"": ""즉석으로 조리된 흰 쌀밥은 쌀을 기본 원료로 사용하므로, 쌀과 관련된 HS 코드가 가장 적합하다. 100640 코드는 깨진 쌀을 포함하지만, 즉석 조리된 쌀밥의 재료는 일반적으로 깨진 쌀을 사용할 수 있어 이 코드가 적합하다. 다른 두 코드는 쌀이 아닌 밀가루와 벼에 해당하므로 선택에서 제외된다.""
}
```"
"품목명: 신라면 120g, 30개","이 품목은 신라면으로, 120g짜리 봉지가 30개 들어 있습니다.","코드: 110630
설명: 밀가루, 식사 및 분말; 8장의 제품 중; 제8류 물품의 것
코드: 110610
설명: 밀가루, 식사 및 분말; 제목의 말린 콩과 식물성 채소 중 번호. 0713; 건조한 채두류(菜豆類)의 것(제0713호의 것으로 한정한다)
코드: 190230
설명: 음식 준비물; 파스타(박제 제외), 조리 또는 기타 조리된 음식; 인스탄트 면류;라면, 기타, 기타","```json
{
  ""가장_적합한_HS_코드"": ""190230"",
  ""가장_적합한_HS_항목명"": ""음식 준비물; 파스타(박제 제외), 조리 또는 기타 조리된 음식; 인스탄트 면류;라면, 기타, 기타"",
  ""판단_근거"": ""신라면은 인스턴트 면류로 분류되는 제품으로, 주로 조리된 형태로 소비되며, HS 코드 190230이 이를 명확히 설명하고 있다. 다른 두 코드는 밀가루나 건조한 콩과 식물성 채소와 관련이 있어 신라면의 특성과 맞지 않는다.""
}
```"
"품목명: 스팸 25% 라이트, 9개",스팸 25% 라이트는 9개의 캔으로 제공되는 저지방 스팸 제품입니다.,"코드: 382485
설명: 화학 제품, 혼합물 및 제제, 이 장의 부제목 3에 명시된 제품 포함, 린단(ISO, INN)을 포함한 1,2,3,4,5,6-헥사클로로사이클로헥산(HCH (ISO)) 포함; 1,2,3,4,5,6-헥사클로로시클로헥산[HCH(ISO)][린데인(ISO, INN)을 포함하는 것]을 함유한 것
코드: 961610
설명: 향기 스프레이 및 이와 유사한 화장실용 스프레이, 그리고 이를 위한 마운트 및 헤드; 향수용 분무기와 이와 유사한 화장용 분무기, 이들의 마운트(mount)와 두부(頭部)
코드: 382486
설명: 화학 제품, 혼합물 및 제제, 이 장의 부제목 3에 명시된 제품 포함, 펜타클로로벤젠(ISO) 또는 헥사클로로벤젠(ISO) 포함; 펜타클로로벤젠(ISO) 또는 헥사클로로벤젠(ISO)을 함유한 것","```json
{
  ""가장_적합한_HS_코드"": ""382485"",
  ""가장_적합한_HS_항목명"": ""화학 제품, 혼합물 및 제제, 이 장의 부제목 3에 명시된 제품 포함, 린단(ISO, INN)을 포함한 1,2,3,4,5,6-헥사클로로사이클로헥산(HCH (ISO)) 포함; 1,2,3,4,5,6-헥사클로로시클로헥산[HCH(ISO)][린데인(ISO, INN)을 포함하는 것]을 함유한 것"",
  ""판단_근거"": ""스팸 제품은 가공식품으로, 해당 HS 코드들이 화학 제품 및 혼합물에 관련되지만, 382485는 화학적 혼합물에 대한 설명이 포함되어 있어 저지방 스팸의 제조에 사용될 수 있는 성분들을 포함할 가능성이 높다. 반면, 나머지 두 코드는 향수나 스프레이와 관련된 제품으로, 스팸의 재료 및 제조 과정과는 관련이 없다.""
}
```"
"품목명: 동원 라이트 스탠다드 참치, 85g, 8개",동원 라이트 스탠다드 참치는 85g 용량의 참치가 8개 들어있는 제품입니다.,"코드: 030349
설명: 생선; 냉동, 참치, 품목 번호. 0303.4, 필레, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어 내장을 제외한 것; 기타
코드: 030389
설명: 생선; 냉동, 세번 0303호의 필레, 0304호의 어육 및 세번 0303.91 내지 0303.99호의 식용 어 내장 제외; 은대구, 갈치, 돔;옥돔[브랜치오스테거스 자포니커스(Branchiostegus Japonicus)], 옥두어[브랜치오스테거스 알부스(Branchiostegus albus)], 기타, 붕장어, 조기;참조기[라리미크티스 폴리악티스(Larimichthys polyactis)], 부세[라리미크티스 크로세아(Larimichthys crocea)], 기타, 학꽁치(Hyporhampus sajori), 복어, 기타; 보리멸, 홍살치, 달고기, 임연수어, 볼낙(적어를 포함한다), 아귀, 먹장어(대서양 또는 태평양), 밀크피쉬, 기타 ;  기타 ;  민어,  기타 ;  까나리,  기타 ;  이빨고기[디소스티쿠스(Dissostichus)속은 제외한다],  기타 ;기타;보리멸, 홍살치, 달고기, 임연수어, 볼낙(적어를 포함한다), 아귀, 먹장어(대서양 또는 태평양), 밀크피쉬, 기타 ; 기타 ; 민어,  기타 ; 까나리,  기타 ; 이빨고기[디소스티쿠스(Dissostichus)속은 제외한다],  기타 ; 기타
코드: 030489
설명: 생선 필레; 냉동, 기타의 생선 세번 0304.8에 해당하는 것; 붕장어의 것, 이빨고기[디소스티쿠스(Dissostichus)속은 제외한다]의 것, 틸라피아[오레오크로미스(Oreochromis)속은 제외한다]의 것, 쥐치의 것, 고등어의 것, 기타","```json
{
  ""가장_적합한_HS_코드"": ""030349"",
  ""가장_적합한_HS_항목명"": ""생선; 냉동, 참치, 품목 번호. 0303.4, 필레, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어 내장을 제외한 것; 기타"",
  ""판단_근거"": ""동원 라이트 스탠다드 참치는 참치 제품으로, HS 코드 030349는 냉동 참치를 포함하고 있으며, 참치의 필레 및 기타 형태를 포괄하므로 가장 적합하다. 다른 두 코드(030389와 030489)는 참치가 아닌 다른 생선 또는 필레에 해당하기 때문에 적합하지 않다.""
}
```"
"품목명: 동원 고추 참치, 85g, 8개",동원 고추 참치는 85g 용량의 고추와 참치가 포함된 통조림 식품입니다. 8개가 한 세트로 제공됩니다.,"코드: 210390
설명: 소스 및 이를 위한 준비물; 혼합 조미료 및 혼합 조미료; 장류;된장, 춘장, 고추장, 기타, 기타;마요네스, 인스턴트 카레, 혼합조미료, 메주, 기타
코드: 160419
설명: 생선 준비물; 생선 준비 또는 보존, 통째로 또는 조각으로 (다진 것은 아님), 세번 번호의 기타. 1604; 밀폐용기에 넣은 것;꽁치, 전갱이, 기타, 기타;쥐치포, 기타
코드: 030359
설명: 생선; 냉동, n.e.c.의 항목 번호. 0303.5, 필레, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어 내장 제외; 삼치[스콤버로모러스(Scomberomorus)속], 꽁치[콜로라비스 사이라(Cololabis saira)], 기타","```json
{
  ""가장_적합한_HS_코드"": ""160419"",
  ""가장_적합한_HS_항목명"": ""생선 준비물; 생선 준비 또는 보존, 통째로 또는 조각으로 (다진 것은 아님), 세번 번호의 기타. 1604; 밀폐용기에 넣은 것;꽁치, 전갱이, 기타, 기타;쥐치포, 기타"",
  ""판단_근거"": ""동원 고추 참치는 참치가 주요 성분으로 포함된 통조림 식품으로, HS 코드 160419는 생선 준비물 및 보존과 관련된 항목으로 가장 적합합니다. 다른 코드들은 조미료나 냉동 생선과 관련되어 있어, 고추 참치의 성격에 맞지 않습니다.""
}
```"
"품목명: 펩시 콜라 제로슈거 라임향, 210ml, 30개","펩시 콜라 제로슈거 라임향은 210ml 용량의 탄산음료로, 30개가 포함되어 있습니다.","코드: 210690
설명: 식품 준비물; 항목 번호 2106.10의 n.e.c.; 알코올을 함유하지 않은 음료의 베이스;콜라 베이스, 과일향의 음료베이스, 기타, 당시럽[향미제(香味劑)나 착색제를 첨가한 것으로 한정한다], 인삼제품류;    백삼제품류;  인삼제품류;   백삼제품류;   인삼차, 인삼제품류;   백삼제품류; 인삼제품류;   백삼제품류; 인삼제품류;  백삼제품류;  인삼차, 인삼제품류;  백삼제품류;  기타, 인삼제품류;   홍삼제품류; 인삼제품류;  홍삼제품류;  홍삼차, 인삼제품류;  홍삼제품류;인삼제품류;   백삼제품류; 인삼제품류;  백삼제품류;  인삼차, 인삼제품류;  백삼제품류;인삼제품류;  백삼제품류;인삼제품류; 백삼제품류; 인삼차, 인삼제품류; 백삼제품류; 기타, 인삼제품류;  홍삼제품류;인삼제품류; 홍삼제품류; 홍삼차, 인삼제품류; 홍삼제품류; 기타, 기타; 커피크리머, 버터를 기본 재료로 한 조제품;  버터를 기본 재료로 한 조제품;  버터 함량이 전 중량의 100분의 30 이하인 것,  버터를 기본 재료로 한 조제품;  버터 함량이 전 중량의 100분의 30 초과 100분의 70 이하인 것,  버터를 기본 재료로 한 조제품;기타;커피크리머, 버터를 기본 재료로 한 조제품; 버터를 기본 재료로 한 조제품; 버터 함량이 전 중량의 100분의 30 이하인 것,  버터를 기본 재료로 한 조제품; 버터 함량이 전 중량의 100분의 30 초과 100분의 70 이하인 것,  버터를 기본 재료로 한 조제품; 버터 함량이 전 중량의 100분의 70을 초과하는 것, 아이스크림 제조용 조제품, 자기소화효모(autolyzed yeast)와 그 밖의 효모 추출물(extract), 향미(香味)용 조제품, 도토리 가루, 알로에를 기본 재료로 한 조제품, 음료 제조용 조제품[방향성(芳香性) 물질을 기본 재료로 한 것은 제외하며, 알코올 용량이 전 용량의 100분의 0.5를 초과하는 것으로 한정한다], 로열젤리, 벌꿀조제품의 것,   기타
코드: 220210
설명: 미네랄 및 탄산수, 설탕 또는 기타 감미료 또는 향료가 첨가된 물 포함; 색깔을 입힌 것, 기타
코드: 220890
설명: 증류주, 리큐어 및 기타 증류성 음료; n.e.c. (세번. 2208; 브랜디류(소호 제2208.20호의 것은 제외한다), 소주, 고량주, 데낄라, 기타","```json
{
  ""가장_적합한_HS_코드"": ""220210"",
  ""가장_적합한_HS_항목명"": ""미네랄 및 탄산수, 설탕 또는 기타 감미료 또는 향료가 첨가된 물 포함; 색깔을 입힌 것, 기타"",
  ""판단_근거"": ""펩시 콜라 제로슈거 라임향은 탄산음료로, 주 성분이 물과 탄산가스이며, 설탕 대신 감미료가 사용됩니다. 220210 코드는 미네랄 및 탄산수에 설탕 또는 기타 감미료가 첨가된 음료를 포함하므로, 해당 제품에 가장 적합합니다. 210690 코드는 알코올을 포함하지 않는 음료 베이스와 관련이 있지만, 실제 제품과는 직접적으로 관련이 없으며, 220890 코드는 증류주와 관련이 있어 관련성이 낮습니다.""
}
```"
"품목명: 탐사수 무라벨, 2L, 24개","이 품목은 라벨이 없는 탐사수로, 2리터 용량의 물이 24개 들어 있습니다.","코드: 382486
설명: 화학 제품, 혼합물 및 제제, 이 장의 부제목 3에 명시된 제품 포함, 펜타클로로벤젠(ISO) 또는 헥사클로로벤젠(ISO) 포함; 펜타클로로벤젠(ISO) 또는 헥사클로로벤젠(ISO)을 함유한 것
코드: 392330
설명: 플라스틱, 카보이, 병, 플라스크 및 이와 유사한 물품, 물품 운반 또는 포장용 물품; 카보이(carboy)ㆍ병ㆍ플라스크(flask)와 이와 유사한 물품
코드: 382213
설명: 시약; 백킹된 진단 또는 실험실 시약, 백킹 여부, 키트 형태 여부에 관계없이 준비된 진단 또는 실험실 시약, 혈액 그룹화용 시약; 혈액형 분류용","```json
{
  ""가장_적합한_HS_코드"": ""392330"",
  ""가장_적합한_HS_항목명"": ""플라스틱, 카보이, 병, 플라스크 및 이와 유사한 물품, 물품 운반 또는 포장용 물품; 카보이(carboy)ㆍ병ㆍ플라스크(flask)와 이와 유사한 물품"",
  ""판단_근거"": ""주어진 물품은 2리터 용량의 물이 담긴 탐사수로, 이는 주로 플라스틱 용기에 담겨 있는 액체 식료품으로 분류됩니다. HS 코드 392330은 플라스틱으로 만들어진 병과 관련된 항목으로, 물품의 특성과 가장 잘 맞습니다. 다른 두 코드(382486과 382213)는 화학 제품 및 실험실 시약과 관련되어 있으며, 물이 담긴 용기와는 관련성이 적습니다.""
}
```"
"품목명: 오뚜기 진라면 컵 매운맛 65g, 30개","이 품목은 컵라면으로, 매운 맛의 진라면입니다. 65g이며 30개가 포함되어 있습니다.","코드: 110630
설명: 밀가루, 식사 및 분말; 8장의 제품 중; 제8류 물품의 것
코드: 110610
설명: 밀가루, 식사 및 분말; 제목의 말린 콩과 식물성 채소 중 번호. 0713; 건조한 채두류(菜豆類)의 것(제0713호의 것으로 한정한다)
코드: 190230
설명: 음식 준비물; 파스타(박제 제외), 조리 또는 기타 조리된 음식; 인스탄트 면류;라면, 기타, 기타","```json
{
  ""가장_적합한_HS_코드"": ""190230"",
  ""가장_적합한_HS_항목명"": ""음식 준비물; 파스타(박제 제외), 조리 또는 기타 조리된 음식; 인스탄트 면류;라면, 기타, 기타"",
  ""판단_근거"": ""컵라면은 즉석식품으로 분류되며, HS 코드 190230은 인스턴트 면류를 포함합니다. 다른 두 코드인 110630과 110610은 주로 밀가루와 관련된 제품으로, 컵라면의 주된 성격인 조리된 음식으로서의 특성을 반영하지 않습니다. 따라서 190230이 가장 적합합니다.""
}
```"
"품목명: 곰곰 더 진한 갈비탕 (냉동), 600g, 5개","곰곰 더 진한 갈비탕은 냉동된 소고기 갈비탕으로, 총 중량은 600g이며, 5개가 포함되어 있습니다.","코드: 020220
설명: 육류; 소 동물 중 뼈가 있는 부위(도체 및 반도체 제외), 냉동 식품; 갈비, 기타
코드: 020649
설명: 내장, 식용, 돼지 (간 제외), 냉동; 족, 기타
코드: 020120
설명: 육류; 소 동물의 뼈가 있는 부위(도체 및 반도체 제외), 신선하거나 냉장된 것; 갈비, 기타","```json
{
  ""가장_적합한_HS_코드"": ""020220"",
  ""가장_적합한_HS_항목명"": ""육류; 소 동물 중 뼈가 있는 부위(도체 및 반도체 제외), 냉동 식품; 갈비, 기타"",
  ""판단_근거"": ""곰곰 더 진한 갈비탕은 냉동된 소고기 갈비탕으로, 소고기를 주요 재료로 사용하고 있으며, 냉동 형태로 제공됩니다. HS 코드 020220은 냉동된 소고기 갈비를 포함하고 있어 가장 적합합니다. 반면, 020649는 돼지고기 내장에 해당하며, 020120은 신선하거나 냉장된 소고기에 해당하므로 해당 제품과 맞지 않습니다.""
}
```"
"품목명: 블루다이아몬드 아몬드 브리즈 오리지널, 190ml, 24개","이 품목은 음료로, 블루다이아몬드 브랜드의 아몬드 우유입니다. 190ml 용량의 제품이 24개 포함되어 있습니다.","코드: 210690
설명: 식품 준비물; 항목 번호 2106.10의 n.e.c.; 알코올을 함유하지 않은 음료의 베이스;콜라 베이스, 과일향의 음료베이스, 기타, 당시럽[향미제(香味劑)나 착색제를 첨가한 것으로 한정한다], 인삼제품류;    백삼제품류;  인삼제품류;   백삼제품류;   인삼차, 인삼제품류;   백삼제품류; 인삼제품류;   백삼제품류; 인삼제품류;  백삼제품류;  인삼차, 인삼제품류;  백삼제품류;  기타, 인삼제품류;   홍삼제품류; 인삼제품류;  홍삼제품류;  홍삼차, 인삼제품류;  홍삼제품류;인삼제품류;   백삼제품류; 인삼제품류;  백삼제품류;  인삼차, 인삼제품류;  백삼제품류;인삼제품류;  백삼제품류;인삼제품류; 백삼제품류; 인삼차, 인삼제품류; 백삼제품류; 기타, 인삼제품류;  홍삼제품류;인삼제품류; 홍삼제품류; 홍삼차, 인삼제품류; 홍삼제품류; 기타, 기타; 커피크리머, 버터를 기본 재료로 한 조제품;  버터를 기본 재료로 한 조제품;  버터 함량이 전 중량의 100분의 30 이하인 것,  버터를 기본 재료로 한 조제품;  버터 함량이 전 중량의 100분의 30 초과 100분의 70 이하인 것,  버터를 기본 재료로 한 조제품;기타;커피크리머, 버터를 기본 재료로 한 조제품; 버터를 기본 재료로 한 조제품; 버터 함량이 전 중량의 100분의 30 이하인 것,  버터를 기본 재료로 한 조제품; 버터 함량이 전 중량의 100분의 30 초과 100분의 70 이하인 것,  버터를 기본 재료로 한 조제품; 버터 함량이 전 중량의 100분의 70을 초과하는 것, 아이스크림 제조용 조제품, 자기소화효모(autolyzed yeast)와 그 밖의 효모 추출물(extract), 향미(香味)용 조제품, 도토리 가루, 알로에를 기본 재료로 한 조제품, 음료 제조용 조제품[방향성(芳香性) 물질을 기본 재료로 한 것은 제외하며, 알코올 용량이 전 용량의 100분의 0.5를 초과하는 것으로 한정한다], 로열젤리, 벌꿀조제품의 것,   기타
코드: 080212
설명: 견과류, 식용; 아몬드, 신선 또는 건조, 껍질 벗긴 것; 껍데기를 벗긴 것
코드: 350220
설명: 알부민; 두 가지 이상의 유청 단백질 농축액을 포함한 우유 알부민; 밀크알부민(둘 이상의 유장단백질의 농축물을 포함한다)","```json
{
  ""가장_적합한_HS_코드"": ""210690"",
  ""가장_적합한_HS_항목명"": ""식품 준비물; 항목 번호 2106.10의 n.e.c.; 알코올을 함유하지 않은 음료의 베이스;"",
  ""판단_근거"": ""블루다이아몬드 브랜드의 아몬드 우유는 음료로 분류되며, HS 코드 210690은 비알콜 음료 및 그 베이스를 포함하는 카테고리로 적합합니다. 아몬드 우유는 유제품이 아닌 대체 음료로, 주로 식품 준비물로 간주되기 때문에 210690 코드가 가장 적합합니다. 반면, HS 코드 080212는 아몬드 자체에 대한 분류이고, 350220은 단백질에 대한 분류로, 아몬드 우유의 제조 및 재료 단계에 대한 설명과 부합하지 않습니다.""
}
```"
