ProductName,CleanDescription,Best3,Answer
"품목명: 오뚜기 흰밥, 210g, 24개","오뚜기 흰밥은 210g의 포장 단위로, 24개가 들어있는 즉석 식사 제품입니다.","코드: 1404903010
설명: 식물성 제품; 14장의 내용 외; 식품포장용으로 사용되는 식물의 잎; 떡갈잎
코드: 2106903019
설명: 식품 준비물; 항목 번호 2106.10의 n.e.c.; 인삼제품류; 백삼제품류; 기타
코드: 1106300000
설명: 밀가루, 식사 및 분말; 8장의 제품 중; 제8류 물품의 것","```json
{
  ""가장_적합한_HS_코드"": ""2106903019"",
  ""가장_적합한_HS_항목명"": ""식품 준비물; 항목 번호 2106.10의 n.e.c.; 인삼제품류; 백삼제품류; 기타"",
  ""판단_근거"": ""오뚜기 흰밥은 즉석 식사 제품으로, 가공된 식품 준비물에 해당합니다. HS 코드 2106903019는 가공 식품을 포함하며, 즉석 식사 제품의 분류에 적합합니다. 다른 두 코드(1404903010 및 1106300000)는 식물성 제품이나 밀가루, 분말에 관한 것으로, 흰밥과 같은 즉석 식사 제품의 특성을 반영하지 않습니다.""
}
```"
"품목명: 신라면 120g, 30개","신라면은 120g의 용량으로 포장된 인스턴트 라면 제품이며, 총 30개가 포함되어 있습니다.","코드: 207603100
설명: 육류 및 식용 내장, 기니피그, 신선, 냉장 또는 냉동 제품; 기타(신선한 것이나 냉장한 것으로 한정한다); 절단육
코드: 1902301010
설명: 음식 준비물; 파스타(박제 제외), 조리 또는 기타 조리된 음식; 인스탄트 면류; 라면
코드: 207604210
설명: 육류 및 식용 내장, 기니피그, 신선, 냉장 또는 냉동 제품; 기타(냉동한 것으로 한정한다); 설육(屑肉); 간","```json
{
  ""가장_적합한_HS_코드"": ""1902301010"",
  ""가장_적합한_HS_항목명"": ""음식 준비물; 파스타(박제 제외), 조리 또는 기타 조리된 음식; 인스탄트 면류; 라면"",
  ""판단_근거"": ""신라면은 인스턴트 라면으로 분류되며, 1902301010 HS 코드는 인스턴트 면류와 관련되어 있다. 다른 두 코드(207603100, 207604210)는 육류와 관련된 항목으로, 주어진 물품인 인스턴트 라면과는 관련성이 없다.""
}
```"
"품목명: 스팸 25% 라이트, 9개","스팸 25% 라이트, 9개는 25%의 지방이 포함된 스팸 제품으로, 9개가 들어 있는 포장입니다.","코드: 5516440000
설명: 직물, 직조, 인쇄, 인공 스테이플 섬유 중량 85% 미만을 함유하고 주로 또는 전적으로 면과 혼합된 제품; 날염한 것
코드: 5516149000
설명: 직물, 직조, 인쇄, 인공 스테이플 섬유가 중량 기준 85% 이상 함유된 제품; 기타
코드: 5516119000
설명: 직물, 직조, 표백 또는 표백되지 않은 인공 스테이플 섬유가 중량 대비 85% 이상 함유된 제품; 기타","```json
{
  ""가장_적합한_HS_코드"": ""5516440000"",
  ""가장_적합한_HS_항목명"": ""직물, 직조, 인쇄, 인공 스테이플 섬유 중량 85% 미만을 함유하고 주로 또는 전적으로 면과 혼합된 제품; 날염한 것"",
  ""판단_근거"": ""제공된 물품은 스팸 제품으로 식료품에 해당하지만, 주어진 HS 코드들은 모두 섬유 제품과 관련되어 있습니다. 주어진 HS 코드 중에서는 '5516440000'이 '주로 또는 전적으로 면과 혼합된 제품'을 설명하고 있으나, 스팸 제품과의 관련성은 매우 낮습니다. 그러나 나머지 두 코드는 인공 스테이플 섬유가 85% 이상 포함된 제품으로, 스팸과는 전혀 관련이 없습니다. 따라서 주어진 세 가지 HS 코드 중에서는 '5516440000'이 가장 적합한 코드로 보입니다.""
}
```"
"품목명: 동원 고추 참치, 85g, 8개","동원 고추 참치는 85g의 용량으로 포장된 8개의 캔으로, 고추와 참치를 주재료로 사용한 식품입니다.","코드: 811902000
설명: 과일, 식용; 과일 및 견과류 세번 no. 0811, 익히지 않거나 익힌 것, 설탕 또는 기타 감미료의 함유 여부에 관계없이 냉동된 것; 대추
코드: 709991000
설명: 채소; 식용, 07장의 기타, 신선하거나 차가운 것; 고사리
코드: 2103901030
설명: 소스 및 이를 위한 준비물; 혼합 조미료 및 혼합 조미료; 장류; 고추장","```json
{
  ""가장_적합한_HS_코드"": ""2103901030"",
  ""가장_적합한_HS_항목명"": ""소스 및 이를 위한 준비물; 혼합 조미료 및 혼합 조미료; 장류; 고추장"",
  ""판단_근거"": ""동원 고추 참치는 고추와 참치를 주재료로 사용한 조미료가 포함된 식품으로, HS 코드 2103901030은 소스 및 조미료에 해당합니다. 반면, 다른 두 HS 코드는 과일과 채소에 해당하여 본 제품의 특성과 맞지 않습니다.""
}
```"
"품목명: 탐사수 무라벨, 2L, 24개",탐사수 무라벨은 라벨이 없는 2리터 용량의 생수입니다. 이 제품은 24개가 묶여 있습니다.,"코드: 2202999000
설명: 무알코올 음료; 제2202.10호에 해당하는 무알코올 맥주 이외의 것으로서, 제 2202.10호의 과일, 견과류 또는 야채 주스는 포함하지 않습니다. 2009; 기타
코드: 2202992000
설명: 무알코올 음료; 제2202.10호에 해당하는 무알코올 맥주 이외의 것으로서, 제 2202.10호의 과일, 견과류 또는 야채 주스는 포함하지 않습니다. 2009; 과실주스 음료
코드: 2202993000
설명: 무알코올 음료; 제2202.10호에 해당하는 무알코올 맥주 이외의 것으로서, 제 2202.10호의 과일, 견과류 또는 야채 주스는 포함하지 않습니다. 2009; 식혜","```json
{
  ""가장_적합한_HS_코드"": ""2202999000"",
  ""가장_적합한_HS_항목명"": ""무알코올 음료; 제2202.10호에 해당하는 무알코올 맥주 이외의 것으로서, 제 2202.10호의 과일, 견과류 또는 야채 주스는 포함하지 않습니다. 2009; 기타"",
  ""판단_근거"": ""탐사수 무라벨은 라벨이 없는 생수로, 무알코올 음료에 해당하며, 주어진 HS 코드 중에서 가장 일반적인 범주인 '기타'로 분류되는 코드가 가장 적합합니다. 다른 두 코드(과실주스 음료, 식혜)는 특정 음료에 한정되므로 해당하지 않습니다.""
}
```"
"품목명: 곰곰 더 진한 갈비탕 (냉동), 600g, 5개","곰곰 더 진한 갈비탕은 600g의 냉동 갈비탕으로, 5개가 포함되어 있습니다.","코드: 1602321010
설명: 육류 준비; 제목의 가금류의 번호. 0105, (즉, 갈루스 도메니쿠스 종의 가금류); 밀폐용기에 넣은 것; 삼계탕
코드: 207604290
설명: 육류 및 식용 내장, 기니피그, 신선, 냉장 또는 냉동 제품; 기타(냉동한 것으로 한정한다); 설육(屑肉); 기타
코드: 207604210
설명: 육류 및 식용 내장, 기니피그, 신선, 냉장 또는 냉동 제품; 기타(냉동한 것으로 한정한다); 설육(屑肉); 간","```json
{
  ""가장_적합한_HS_코드"": ""1602321010"",
  ""가장_적합한_HS_항목명"": ""육류 준비; 제목의 가금류의 번호. 0105, (즉, 갈루스 도메니쿠스 종의 가금류); 밀폐용기에 넣은 것; 삼계탕"",
  ""판단_근거"": ""곰곰 더 진한 갈비탕은 냉동 갈비탕으로, 육류가 포함된 제품입니다. HS 코드 1602321010은 가금류 제품을 밀폐용기에 넣은 것으로 명시하고 있으나, 갈비탕과 같은 육류 준비식품에도 해당할 수 있습니다. 나머지 두 코드(207604290, 207604210)는 기니피그와 관련된 품목으로, 주어진 물품과는 관련이 없습니다. 따라서 1602321010이 가장 적합한 선택입니다.""
}
```"
"품목명: 블루다이아몬드 아몬드 브리즈 오리지널, 190ml, 24개","블루다이아몬드 아몬드 브리즈 오리지널은 190ml 용량의 아몬드 우유로, 24개가 한 세트로 포장되어 있습니다.","코드: 2205100000
설명: 식물 또는 향기로운 물질로 향을 낸 신선한 포도로 만든 버몬트 및 기타 와인, 2리터 이하의 용기에 담아야 합니다.; 2리터 이하의 용기에 넣은 것
코드: 2205900000
설명: 식물 또는 향기로운 물질로 향을 낸 신선한 포도로 만든 버몬트 및 기타 와인은 2리터 이상의 용기에 담아야 합니다.; 기타
코드: 405900000
설명: 유제품, 우유에서 추출한 지방 및 오일(버터 또는 유제품 스프레드 제외); 기타","```json
{
  ""가장_적합한_HS_코드"": ""405900000"",
  ""가장_적합한_HS_항목명"": ""유제품, 우유에서 추출한 지방 및 오일(버터 또는 유제품 스프레드 제외); 기타"",
  ""판단_근거"": ""블루다이아몬드 아몬드 브리즈 오리지널은 아몬드 우유로, 이는 유제품 대체품으로 분류됩니다. HS 코드 405900000은 유제품 및 우유에서 추출한 지방과 관련된 항목으로, 아몬드 우유와 같은 식물 기반의 대체 우유 제품과 가장 관련성이 높습니다. 나머지 두 코드는 포도와 와인에 관련된 것으로, 본 제품과의 관련성이 없습니다.""
}
```"
"품목명: 비비고 왕교자 (냉동), 1.05kg, 2개","비비고 왕교자는 냉동 형태의 교자로, 중량은 1.05kg이며 2개 포장되어 있습니다.","코드: 4805929000
설명: 종이 및 판지, 비코팅, 중량 150g/m2 이상 225g/m2 미만, 롤 또는 시트, 품목번호 없음. 4805; 기타
코드: 4805939000
설명: 종이 및 판지, 비코팅, 중량 225/m2 이상, 롤 또는 시트, 품목번호 없음. 4805; 기타
코드: 4805921000
설명: 종이 및 판지, 비코팅, 중량 150g/m2 이상 225g/m2 미만, 롤 또는 시트, 품목번호 없음. 4805; 여러 층의 종이와 판지로서 각 층을 표백한 것","```json
{
  ""가장_적합한_HS_코드"": ""4805929000"",
  ""가장_적합한_HS_항목명"": ""종이 및 판지, 비코팅, 중량 150g/m2 이상 225g/m2 미만, 롤 또는 시트, 품목번호 없음. 4805; 기타"",
  ""판단_근거"": ""비비고 왕교자는 냉동 형태의 교자로, 주로 종이 포장재를 사용하여 포장되므로 관련 HS 코드 중 종이 및 판지 카테고리에 해당합니다. 제공된 세 가지 HS 코드 모두 종이 및 판지 관련 항목이지만, 교자와 관련된 포장재의 중량과 비코팅 특성을 고려할 때 4805929000 코드가 가장 적합합니다.""
}
```"
"품목명: 귤탐 당도선별 11brix 감귤, 2kg(로열과), 1개","품목명: 귤탐 당도선별 11brix 감귤, 2kg(로열과), 1개  

이 품목은 당도가 11brix인 로열과 감귤 2kg을 포함한 제품입니다.","코드: 2009319000
설명: 주스; 단일 감귤류 과일(오렌지, 자몽 또는 포멜로 제외)로, 브릭스 값이 20을 초과하지 않고, 발효되지 않았으며, 설탕이나 기타 감미료가 첨가되어 있지 않은 주정을 포함하지 않은 제품.; 기타
코드: 2009399000
설명: 주스; 단일 감귤류 과일(오렌지, 자몽 또는 포멜로 제외)로, 브릭스 값이 20을 초과하고, 발효되지 않았으며, 첨가당이나 기타 감미료 포함 여부와 상관없이 주정을 포함하지 않은 제품.; 기타
코드: 2009391000
설명: 주스; 단일 감귤류 과일(오렌지, 자몽 또는 포멜로 제외)로, 브릭스 값이 20을 초과하고, 발효되지 않았으며, 첨가당이나 기타 감미료 포함 여부와 상관없이 주정을 포함하지 않은 제품.; 레몬주스","```json
{
  ""가장_적합한_HS_코드"": ""2009319000"",
  ""가장_적합한_HS_항목명"": ""주스; 단일 감귤류 과일(오렌지, 자몽 또는 포멜로 제외)로, 브릭스 값이 20을 초과하지 않고, 발효되지 않았으며, 설탕이나 기타 감미료가 첨가되어 있지 않은 주정을 포함하지 않은 제품.; 기타"",
  ""판단_근거"": ""제공된 품목은 '귤탐 당도선별 11brix 감귤'로, 브릭스 값이 11로 20을 초과하지 않으며, 감미료가 첨가되지 않은 상태로 감귤 주스로 분류될 수 있습니다. 따라서, 브릭스 값이 20을 초과하지 않는 주스에 해당하는 2009319000 코드가 가장 적합합니다.""
}
```"
"품목명: 담터 호두 아몬드 율무차, 18g, 50개입, 1개","담터 호두 아몬드 율무차는 호두, 아몬드, 율무를 포함한 차로, 18g씩 50개가 들어 있는 포장 형태입니다.","코드: 902400000
설명: 차, 블랙; (발효) 및 부분 발효 차, 내용물이 3kg을 초과하는 즉시 포장된 경우; 그 밖의 홍차(발효차)와 그 밖의 부분 발효차
코드: 902300000
설명: 차, 블랙; (발효) 및 부분 발효 차, 3kg을 초과하지 않는 내용물의 즉시 포장; 홍차(발효차)와 부분 발효차(내용물의 무게가 3킬로그램 이하로 내용물에 직접 접하여 포장된 것으로 한정한다)
코드: 902100000
설명: 차, 녹색; (발효되지 않은) 내용물이 3kg을 초과하지 않는 즉시 포장된 제품; 녹차(발효하지 않은 것으로서 내용물의 무게가 3킬로그램 이하로 내용물에 직접 접하여 포장된 것으로 한정한다)","```json
{
  ""가장_적합한_HS_코드"": ""902400000"",
  ""가장_적합한_HS_항목명"": ""차, 블랙; (발효) 및 부분 발효 차, 내용물이 3kg을 초과하는 즉시 포장된 경우; 그 밖의 홍차(발효차)와 그 밖의 부분 발효차"",
  ""판단_근거"": ""담터 호두 아몬드 율무차는 차의 형태로 판매되는 제품이며, 내용물이 여러 재료(호두, 아몬드, 율무)를 포함하고 있어 블랙차 또는 부분 발효차로 분류될 수 있습니다. 포장 형태가 18g씩 50개로 되어 있어 전체 중량이 3kg을 초과할 것으로 판단되므로, HS 코드 902400000이 가장 적합합니다.""
}
```"
